cat_id,Cat_sex,neuroticism,energy_level,affection,child_friendly,pet_friendly,vocal,trainability,grooming,independence,dominance,sex_Female,sex_Male,sex_Unknown,cat_name,cat_breed
CAT_00065,Female,3,4,5,5,4,6,5,5,4,4,1,0,0,Whiskers,Norwegian Forest Cat
CAT_00066,Male,3,6,6,5,2,7,5,3,4,6,0,1,0,Jasper,Abyssinian
CAT_00067,Female,2,5,6,5,2,7,5,4,4,4,1,0,0,Lola,Siamese
CAT_00068,Male,1,5,4,5,4,5,6,6,4,3,0,1,0,Thane,Siberian
CAT_00069,Female,1,5,7,7,6,6,7,7,6,1,1,0,0,Cleo,Maine Coon
CAT_00070,Male,5,6,6,2,7,7,4,2,6,5,0,1,0,Tiger,Savannah
CAT_00071,Female,1,4,6,6,5,3,6,6,5,4,1,0,0,Luna,Oriental Shorthair
CAT_00072,Male,5,4,4,2,3,6,2,1,4,3,0,1,0,Brutus,British Shorthair
CAT_00073,Male,1,5,2,6,7,7,6,6,4,6,0,1,0,Blaze,Abyssinian
CAT_00074,Male,4,2,5,4,4,1,5,4,5,3,0,1,0,Jasper,Ragdoll
CAT_00075,Female,2,7,5,3,6,5,6,4,4,2,1,0,0,Zephyr,Siamese
CAT_00076,Male,3,3,6,5,6,6,6,6,6,2,0,1,0,Simba,Maine Coon
CAT_00077,Female,6,4,4,3,5,7,6,4,4,3,1,0,0,Onyx,Norwegian Forest Cat
CAT_00078,Female,3,6,6,4,5,7,6,6,4,5,1,0,0,Astrid,Egyptian Mau
CAT_00079,Female,2,6,7,7,6,5,6,6,6,2,1,0,0,Willow,Balinese
CAT_00080,Male,2,6,6,6,6,6,6,5,4,3,0,1,0,Hunter,Siberian
CAT_00081,Male,2,5,5,6,5,2,6,6,4,4,0,1,0,Ollie,Abyssinian
CAT_00082,Male,4,6,6,4,3,6,4,4,4,4,0,1,0,Jasper,Abyssinian
CAT_00083,Female,2,4,6,6,5,7,6,6,6,4,1,0,0,Luna,Balinese
CAT_00084,Female,4,6,6,4,3,5,4,4,4,4,1,0,0,Daphne,Abyssinian
CAT_00085,Female,2,6,6,4,3,7,4,4,4,5,1,0,0,Onyx,Siamese
CAT_00086,Female,2,5,6,4,6,4,6,6,4,1,1,0,0,Gracie,Ragdoll
CAT_00087,Unknown,3,5,3,4,1,7,4,4,6,5,0,0,1,Raven,Sphynx
CAT_00088,Female,2,6,6,6,2,7,4,4,4,3,1,0,0,Zara,Balinese
CAT_00089,Female,6,4,4,4,2,5,3,4,4,1,1,0,0,Sassy,British Shorthair
CAT_00090,Male,1,4,4,4,2,1,4,4,6,5,0,1,0,Gatsby,Maine Coon
CAT_00091,Female,2,5,7,4,3,6,4,4,4,6,1,0,0,Luna,Abyssinian
CAT_00092,Male,2,5,7,6,5,5,2,4,4,2,0,1,0,Jasper,British Shorthair
CAT_00093,Male,4,4,3,4,3,3,5,4,6,5,0,1,0,Gizmo,Cymric
CAT_00094,Male,2,5,6,6,3,7,6,6,5,3,0,1,0,Maverick,Abyssinian
CAT_00095,Female,4,4,4,4,1,6,5,4,4,4,1,0,0,Onyx,Chartreux
CAT_00096,Male,3,4,6,6,7,4,4,5,4,4,0,1,0,Cooper,Maine Coon
CAT_00097,Male,4,4,4,6,5,7,2,4,4,2,0,1,0,Brutus,Norwegian Forest Cat
CAT_00098,Male,5,5,5,5,5,5,5,4,5,2,0,1,0,Zephyr,Ocicat
CAT_00099,Female,2,5,6,6,6,5,6,6,6,3,1,0,0,Astrid,Balinese
CAT_00100,Female,4,5,1,4,2,2,6,4,4,2,1,0,0,Sable,Sphynx
CAT_00101,Male,4,4,6,3,3,7,5,3,7,6,0,1,0,Rufus,Abyssinian
CAT_00102,Female,7,3,6,3,6,7,4,2,4,3,1,0,0,Loki,British Shorthair
CAT_00103,Male,5,6,6,3,4,7,4,2,4,5,0,1,0,Jasper,American Bobtail
CAT_00104,Female,1,4,4,4,6,3,2,4,4,5,1,0,0,Mochi,Persian
CAT_00105,Male,2,5,7,4,6,7,4,6,4,7,0,1,0,Maxim,Maine Coon
CAT_00106,Male,2,5,7,5,6,5,4,4,6,1,0,1,0,Gatsby,Ragdoll
CAT_00107,Female,1,5,7,6,7,7,6,6,4,1,1,0,0,Luna,Siamese
CAT_00108,Female,3,4,2,5,3,3,4,4,6,3,1,0,0,Sable,Korat
CAT_00109,Female,6,3,5,4,3,7,2,2,4,2,1,0,0,Onyx,Russian Blue
CAT_00110,Male,2,2,6,4,5,7,4,4,1,2,0,1,0,Finnley,Norwegian Forest Cat
CAT_00111,Female,4,5,4,3,1,2,6,4,6,4,1,0,0,Luna,British Shorthair
CAT_00112,Female,2,5,5,5,5,4,6,6,4,3,1,0,0,Daisy,Balinese
CAT_00113,Female,2,4,5,6,4,5,5,5,5,5,1,0,0,Cleo,Ragdoll
CAT_00114,Female,2,4,5,5,3,4,4,4,6,6,1,0,0,Onyx,Russian Blue
CAT_00115,Female,4,4,6,5,5,5,5,4,4,2,1,0,0,Willow,Maine Coon
CAT_00116,Female,4,4,6,4,5,5,5,4,3,2,1,0,0,Lola,British Longhair
CAT_00117,Female,4,4,6,6,4,2,6,6,4,3,1,0,0,Sassy,Siberian
CAT_00118,Female,4,5,6,3,4,5,6,4,6,6,1,0,0,Zara,Abyssinian
CAT_00119,Male,2,6,6,6,4,7,4,6,4,4,0,1,0,Blaze,Bengal
CAT_00120,Male,2,5,4,6,4,6,6,6,6,4,0,1,0,Jasper,Savannah
CAT_00121,Female,6,4,6,4,5,5,4,4,1,1,1,0,0,Luna,British Shorthair
CAT_00122,Female,5,5,4,6,5,7,7,6,7,1,1,0,0,Whiskers,Abyssinian
CAT_00123,Male,1,5,7,7,6,7,6,7,4,2,0,1,0,Maximus,Ragdoll
CAT_00124,Male,4,4,5,6,5,6,6,5,5,2,0,1,0,Jasper,British Longhair
CAT_00125,Female,4,4,6,6,3,4,5,5,4,3,1,0,0,Willow,Norwegian Forest Cat
CAT_00126,Female,3,7,6,4,5,3,6,6,6,6,1,0,0,Onyx,Egyptian Mau
CAT_00127,Male,2,5,7,6,6,7,7,6,4,1,0,1,0,Leo,Siberian
CAT_00128,Female,6,6,2,2,1,1,4,2,6,5,1,0,0,Kiera,Sphynx
CAT_00129,Female,1,6,7,7,6,5,6,7,6,1,1,0,0,Aurora,Maine Coon
CAT_00130,Male,4,5,4,4,5,7,3,3,4,4,0,1,0,Thane,Russian Blue
CAT_00131,Female,2,6,7,5,5,6,2,2,3,1,1,0,0,Luna,British Shorthair
CAT_00132,Female,1,1,7,7,2,5,6,7,4,6,1,0,0,Sophie,Persian
CAT_00133,Male,4,5,5,4,4,6,4,4,4,3,0,1,0,Jasper,American Bobtail
CAT_00134,Female,3,5,6,4,3,4,4,4,4,2,1,0,0,Willow,Ocicat
CAT_00135,Female,2,4,7,6,4,7,7,7,7,6,1,0,0,Ophelia,Ragdoll
CAT_00136,Male,7,5,1,1,1,4,2,1,7,5,0,1,0,Bruiser,Sphynx
CAT_00137,Female,4,4,6,4,2,5,6,4,6,4,1,0,0,Moxie,Norwegian Forest Cat
CAT_00138,Male,1,5,6,6,1,3,4,4,6,5,0,1,0,Finn,Korat
CAT_00139,Male,4,5,4,6,4,5,6,6,6,4,0,1,0,Kai,Siberian
CAT_00140,Male,4,5,6,6,4,6,6,6,4,3,0,1,0,Atlas,Maine Coon
CAT_00141,Female,4,4,4,4,4,6,6,4,3,3,1,0,0,Luna,Abyssinian
CAT_00142,Male,2,4,6,6,6,2,5,5,4,3,0,1,0,Max,British Shorthair
CAT_00143,Female,2,5,7,5,5,7,5,4,4,3,1,0,0,Sassy,Siamese
CAT_00144,Female,4,5,6,4,2,7,6,4,6,5,1,0,0,Onyx,Russian Blue
CAT_00145,Female,2,5,4,4,4,3,6,5,4,2,1,0,0,Whiskers,Maine Coon
CAT_00146,Male,5,3,6,2,1,7,6,3,2,4,0,1,0,Gizmo,Scottish Fold
CAT_00147,Female,4,6,6,6,5,6,6,6,6,4,1,0,0,Xanthe,Abyssinian
CAT_00148,Male,4,5,6,6,5,7,6,6,4,2,0,1,0,Jasper,British Longhair
CAT_00149,Male,4,5,4,4,6,5,4,4,4,3,0,1,0,Rocky,Domestic Shorthair
CAT_00150,Male,4,6,5,4,6,4,4,4,5,3,0,1,0,Thane,Siberian
CAT_00151,Male,2,6,5,4,6,2,4,2,3,5,0,1,0,Rocky,Abyssinian
CAT_00152,Female,3,4,7,4,5,7,6,4,2,2,1,0,0,Luna,Ragdoll
CAT_00153,Female,4,6,4,2,2,6,4,2,6,6,1,0,0,Onyx,Sphynx
CAT_00154,Male,2,3,3,6,2,5,4,6,6,3,0,1,0,Jasper,Maine Coon
CAT_00155,Male,7,3,3,4,6,6,2,1,2,2,0,1,0,Gizmo,Norwegian Forest Cat
CAT_00156,Female,2,4,7,6,4,6,7,6,5,2,1,0,0,Sophia,British Longhair
CAT_00157,Female,6,5,7,6,6,1,7,6,2,1,1,0,0,Astrid,Siberian
CAT_00158,Male,1,4,7,7,7,4,7,7,4,1,0,1,0,Max,Persian
CAT_00159,Male,5,3,4,4,2,7,3,2,4,6,0,1,0,Thane,Russian Blue
CAT_00160,Female,2,5,6,6,6,6,4,5,2,1,1,0,0,Willow,Ocicat
CAT_00161,Male,2,4,4,6,6,6,4,5,5,3,0,1,0,Brock,British Shorthair
CAT_00162,Female,6,4,2,2,5,3,5,2,4,3,1,0,0,Xanthe,Korat
CAT_00163,Female,7,5,4,4,2,7,4,4,4,1,1,0,0,Ravenna,Abyssinian
CAT_00164,Male,5,3,6,4,1,5,6,3,4,1,0,1,0,Atlas,Ragdoll
CAT_00165,Female,1,5,6,4,2,5,6,4,4,5,1,0,0,Astrid,Norwegian Forest Cat
CAT_00166,Male,4,5,4,4,5,4,5,4,4,4,0,1,0,Jasper,Maine Coon
CAT_00167,Male,3,3,5,4,1,4,2,4,5,6,0,1,0,Thane,American Bobtail
CAT_00168,Male,4,6,6,4,4,5,5,4,4,5,0,1,0,Blaze,Ocicat
CAT_00169,Female,3,5,6,5,5,4,4,4,3,2,1,0,0,Luna,Balinese
CAT_00170,Male,4,3,4,5,4,2,4,4,4,2,0,1,0,Gideon,British Longhair
CAT_00171,Male,3,6,6,2,4,7,4,3,4,4,0,1,0,Rocket,Abyssinian
CAT_00172,Female,5,2,4,6,1,1,5,4,6,3,1,0,0,Luna,British Longhair
CAT_00173,Male,2,4,6,4,4,6,4,4,4,2,0,1,0,Finn,Maine Coon
CAT_00174,Female,2,5,4,1,4,6,4,1,5,5,1,0,0,Onyx,Ocicat
CAT_00175,Male,6,4,3,4,1,7,4,2,5,7,0,1,0,Blaze,Savannah
CAT_00176,Female,1,3,7,7,7,5,4,7,7,1,1,0,0,Angel,Ragdoll
CAT_00177,Female,4,4,6,4,2,5,4,4,4,2,1,0,0,Lola,Norwegian Forest Cat
CAT_00178,Female,2,6,7,2,1,6,4,2,4,7,1,0,0,Vega,Bengal
CAT_00179,Female,5,5,7,6,5,7,3,4,3,1,1,0,0,Willow,Siberian
CAT_00180,Male,5,5,5,3,5,5,6,6,4,6,0,1,0,Jasper,Burmese
CAT_00181,Female,5,3,3,4,1,1,6,4,7,6,1,0,0,Luna,Abyssinian
CAT_00182,Female,2,6,4,4,1,6,7,6,4,6,1,0,0,Zuzu,Korat
CAT_00183,Male,5,3,3,4,4,5,4,4,5,4,0,1,0,Jasper,British Shorthair
CAT_00184,Female,5,4,4,4,4,5,4,4,4,3,1,0,0,Whiskers,Domestic Shorthair
CAT_00185,Male,4,4,4,4,3,5,6,4,4,2,0,1,0,Finn,Maine Coon
CAT_00186,Male,6,5,6,2,3,1,4,2,2,5,0,1,0,Blaze,Sphynx
CAT_00187,Female,6,6,6,4,5,6,7,4,6,3,1,0,0,Onyx,Siamese
CAT_00188,Female,5,5,6,6,7,6,6,6,3,3,1,0,0,Lola,Oriental Shorthair
CAT_00189,Female,2,6,7,4,6,5,5,5,5,4,1,0,0,Daisy,Ragdoll
CAT_00190,Male,2,3,6,4,4,5,6,5,5,5,0,1,0,Thane,British Longhair
CAT_00191,Female,6,6,4,2,4,7,4,3,2,3,1,0,0,Luna,Abyssinian
CAT_00192,Female,5,4,6,4,4,6,4,4,4,4,1,0,0,Gracie,Burmese
CAT_00193,Female,4,5,6,6,5,4,4,4,4,4,1,0,0,Daisy,Ragdoll
CAT_00194,Female,4,6,4,3,3,4,4,4,5,5,1,0,0,Zephyr,Siamese
CAT_00195,Female,2,4,7,6,2,6,6,6,5,3,1,0,0,Ophelia,Persian
CAT_00196,Male,4,5,6,4,6,6,4,3,3,4,0,1,0,Jasper,Maine Coon
CAT_00197,Female,4,4,3,4,3,6,2,4,6,4,1,0,0,Piper,British Shorthair
CAT_00198,Female,4,4,3,3,3,2,4,4,5,5,1,0,0,Sage,Norwegian Forest Cat
CAT_00199,Male,4,4,6,4,3,5,3,3,3,4,0,1,0,Finn,Russian Blue
CAT_00200,Male,4,4,4,6,4,5,2,4,3,2,0,1,0,Bronson,Siberian
CAT_00201,Female,3,6,4,3,3,3,4,2,6,6,1,0,0,Luna,Abyssinian
CAT_00202,Male,6,6,4,2,6,7,4,2,2,5,0,1,0,Blaze,Abyssinian
CAT_00203,Male,2,5,7,6,3,1,4,6,4,5,0,1,0,Jasper,Ragdoll
CAT_00204,Female,6,5,4,4,5,6,6,4,3,4,1,0,0,Onyx,Tonkinese
CAT_00205,Female,2,3,6,6,5,6,6,6,4,2,1,0,0,Mochi,Birman
CAT_00206,Male,2,4,6,6,3,7,6,6,4,4,0,1,0,Simba,Maine Coon
CAT_00207,Female,2,5,6,6,4,7,6,6,6,1,1,0,0,Aurora,Siberian
CAT_00208,Male,3,6,6,6,5,5,6,6,4,3,0,1,0,Nitro,Abyssinian
CAT_00209,Female,2,6,6,6,5,3,4,4,4,3,1,0,0,Dakota,Norwegian Forest Cat
CAT_00210,Female,3,6,7,5,2,2,4,3,6,4,1,0,0,Lyra,British Longhair
CAT_00211,Female,3,4,4,6,7,6,6,6,6,1,1,0,0,Luna,Abyssinian
CAT_00212,Male,3,5,4,4,4,2,6,5,6,2,0,1,0,Jasper,British Shorthair
CAT_00213,Female,1,7,7,6,6,7,6,6,4,2,1,0,0,Akira,Siamese
CAT_00214,Male,4,6,6,6,6,7,4,4,4,4,0,1,0,Maverick,Ocicat
CAT_00215,Male,5,3,4,5,7,7,5,3,4,3,0,1,0,Whiskers,Maine Coon
CAT_00216,Male,6,6,3,3,1,4,6,3,4,2,0,1,0,Onyx,Sphynx
CAT_00217,Male,2,4,6,4,7,2,6,4,4,4,0,1,0,Finn,Korat
CAT_00218,Female,7,6,3,4,2,7,4,3,5,1,1,0,0,Salem,Norwegian Forest Cat
CAT_00219,Female,2,6,6,5,5,6,4,4,4,4,1,0,0,Lola,Balinese
CAT_00220,Female,5,3,3,6,4,3,5,5,6,2,1,0,0,Gracie,Russian Blue
CAT_00221,Female,2,4,6,4,1,5,4,4,3,6,1,0,0,Luna,Abyssinian
CAT_00222,Female,6,5,4,4,4,7,2,3,4,2,1,0,0,Onyx,British Shorthair
CAT_00223,Male,3,5,4,4,3,7,4,3,3,3,0,1,0,Jasper,American Bobtail
CAT_00224,Female,2,3,6,6,4,3,4,4,4,4,1,0,0,Daisy,Ragdoll
CAT_00225,Female,6,5,4,3,4,7,5,2,4,2,1,0,0,Lola,Siamese
CAT_00226,Male,4,6,6,5,5,6,6,5,4,1,0,1,0,Blaze,Ocicat
CAT_00227,Male,1,5,6,6,6,5,4,5,4,3,0,1,0,Finn,Maine Coon
CAT_00228,Male,3,5,7,5,3,7,6,5,5,2,0,1,0,Maverick,Savannah
CAT_00229,Female,4,4,4,4,2,7,5,4,5,6,1,0,0,Cleo,Russian Blue
CAT_00230,Male,4,5,6,3,5,7,6,5,2,5,0,1,0,Thane,Bengal
CAT_00231,Female,1,5,7,6,4,5,4,5,4,4,1,0,0,Luna,British Shorthair
CAT_00232,Female,1,5,6,4,7,3,6,6,4,2,1,0,0,Gracie,Burmese
CAT_00233,Male,2,4,4,4,6,2,6,5,6,3,0,1,0,Jasper,American Bobtail
CAT_00234,Female,2,4,4,6,3,5,6,4,4,3,1,0,0,Lola,Chartreux
CAT_00235,Female,4,4,5,4,1,5,4,4,3,5,1,0,0,Onyx,Siberian
CAT_00236,Male,6,5,4,5,5,2,6,5,4,1,0,1,0,Riot,Ocicat
CAT_00237,Female,2,5,4,4,2,5,4,6,5,2,1,0,0,Raven,Balinese
CAT_00238,Male,3,5,6,6,6,7,7,6,6,2,0,1,0,Apollo,Abyssinian
CAT_00239,Male,4,4,4,4,4,6,4,4,4,2,0,1,0,Thane,Russian Blue
CAT_00240,Female,2,5,4,5,3,6,6,6,6,5,1,0,0,Zelda,Maine Coon
CAT_00241,Female,4,4,3,4,2,3,3,5,4,1,1,0,0,Luna,Abyssinian
CAT_00242,Male,2,6,7,5,6,7,7,6,4,2,0,1,0,Jasper,Bengal
CAT_00243,Female,4,4,4,4,3,6,4,4,4,5,1,0,0,Sasha,Siamese
CAT_00244,Male,4,4,4,5,5,5,5,5,4,4,0,1,0,Oliver,Ocicat
CAT_00245,Female,5,5,3,4,3,4,4,4,4,4,1,0,0,Raven,Balinese
CAT_00246,Female,1,5,6,6,2,7,7,6,7,5,1,0,0,Cleo,Abyssinian
CAT_00247,Female,2,5,7,7,5,7,7,7,7,2,1,0,0,Akira,Javanese
CAT_00248,Male,4,5,3,5,4,5,5,4,7,4,0,1,0,Kai,Savannah
CAT_00249,Female,3,4,7,6,3,6,6,6,4,3,1,0,0,Willow,Ragdoll
CAT_00250,Female,7,5,4,3,2,7,4,4,4,6,1,0,0,Onyx,Siberian
CAT_00251,Male,6,6,4,3,3,5,4,2,4,4,0,1,0,Brutus,Abyssinian
CAT_00252,Female,1,4,7,6,4,7,4,6,4,2,1,0,0,Luna,Ragdoll
CAT_00253,Female,4,5,4,4,2,6,6,5,6,5,1,0,0,Whiskers,Korat
CAT_00254,Female,4,4,6,2,4,5,4,2,4,2,1,0,0,Cleo,British Shorthair
CAT_00255,Female,5,5,4,4,3,2,6,4,4,1,1,0,0,Piper,Russian Blue
CAT_00256,Male,7,4,4,3,1,7,4,2,2,1,0,1,0,Scorch,Sphynx
CAT_00257,Female,4,4,5,4,2,5,5,4,4,5,1,0,0,Lola,Devon Rex
CAT_00258,Female,7,3,4,4,4,5,4,2,4,2,1,0,0,Ophelia,Norwegian Forest Cat
CAT_00259,Male,7,4,5,4,5,7,3,2,3,3,0,1,0,Maverick,Ocicat
CAT_00260,Female,1,6,7,6,5,2,6,5,5,3,1,0,0,Aurora,Maine Coon
CAT_00261,Male,4,4,7,4,5,2,6,4,6,2,0,1,0,Boris,Abyssinian
CAT_00262,Male,3,6,6,2,7,7,4,2,6,5,0,1,0,Jasper,Korat
CAT_00263,Female,4,5,5,4,4,4,4,3,6,5,1,0,0,Mimi,British Shorthair
CAT_00264,Male,3,6,6,6,5,6,6,6,2,2,0,1,0,Finn,Maine Coon
CAT_00265,Male,1,6,7,6,2,6,6,5,4,7,0,1,0,King,Savannah
CAT_00266,Female,1,5,7,3,2,7,6,4,6,6,1,0,0,Lola,Egyptian Mau
CAT_00267,Male,5,7,7,4,1,1,6,4,4,2,0,1,0,Zeus,Devon Rex
CAT_00268,Male,4,4,6,4,7,2,6,4,3,2,0,1,0,Leo,American Shorthair
CAT_00269,Female,1,5,6,7,4,7,6,6,6,2,1,0,0,Luna,Norwegian Forest Cat
CAT_00270,Male,3,5,6,6,5,3,6,5,6,1,0,1,0,Oliver,Siberian
CAT_00271,Male,4,5,4,3,7,7,6,3,4,1,0,1,0,Maverick,Abyssinian
CAT_00272,Female,2,5,7,5,5,6,4,5,4,5,1,0,0,Luna,Ragdoll
CAT_00273,Male,6,4,4,4,3,3,5,4,4,4,0,1,0,Gizmo,British Shorthair
CAT_00274,Female,5,5,6,4,2,5,4,2,4,2,1,0,0,Raven,Ocicat
CAT_00275,Male,2,6,6,3,5,6,4,3,4,4,0,1,0,Jasper,Abyssinian
CAT_00276,Female,6,5,7,4,2,7,6,4,6,1,1,0,0,Onyx,Sphynx
CAT_00277,Male,1,5,7,6,6,6,6,6,4,3,0,1,0,Simba,Maine Coon
CAT_00278,Male,3,4,6,6,7,6,6,5,4,2,0,1,0,Finn,Domestic Shorthair
CAT_00279,Female,2,5,6,6,7,7,7,6,4,2,1,0,0,Astrid,Norwegian Forest Cat
CAT_00280,Male,5,6,7,2,2,6,6,4,4,6,0,1,0,Thane,Savannah
CAT_00281,Female,2,5,6,2,5,7,6,4,4,5,1,0,0,Luna,Abyssinian
CAT_00282,Female,6,6,5,3,3,3,5,3,4,4,1,0,0,Onyx,British Shorthair
CAT_00283,Female,2,7,6,5,4,5,6,6,4,3,1,0,0,Akira,Bengal
CAT_00284,Female,2,4,6,2,2,3,4,2,5,7,1,0,0,Kiara,Russian Blue
CAT_00285,Female,3,4,6,4,4,5,4,3,4,3,1,0,0,Lila,Maine Coon
CAT_00286,Female,2,4,5,6,5,5,4,6,6,3,1,0,0,Dakota,Ragdoll
CAT_00287,Female,3,5,7,5,6,7,6,5,4,1,1,0,0,Zara,Siamese
CAT_00288,Male,2,6,7,2,4,7,2,2,4,6,0,1,0,Thane,Savannah
CAT_00289,Male,2,4,5,6,3,7,6,6,4,3,0,1,0,Jasper,Norwegian Forest Cat
CAT_00290,Female,4,5,4,4,5,7,4,4,2,1,1,0,0,Piper,Siberian
CAT_00291,Male,4,5,6,5,6,6,5,4,4,2,0,1,0,Boris,Abyssinian
